# Colour crosswalk for the extraction pipeline (generated by tools/build_flopo_colour_backbone.py; do not edit).
# canonical_id is the colour FLOPO uses in logical axioms for source_id; rows with eq_axiom=SubClassOf generalise the source and never define an EquivalentTo class.
source_id	source_label	source_status	word_scope	backbone_id	backbone_label	canonical_id	eq_axiom
FLOPO_0980085	greenish	flopo_obsolete	RELATED	FLOPO_0988006	green	PATO_0000014	SubClassOf
FLOPO_0980086	reddish	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980087	pale lilac	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980089	greyish	flopo_obsolete	RELATED	FLOPO_0988010	gray	PATO_0000014	SubClassOf
FLOPO_0980092	silvery	flopo_obsolete	RELATED	FLOPO_0988009	white	PATO_0000014	SubClassOf
FLOPO_0980094	yellowish	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980097	pinkish	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980100	purplish	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980101	pale greenish	flopo_obsolete	RELATED	FLOPO_0988006	green	PATO_0000014	SubClassOf
FLOPO_0980104	pure white	flopo_obsolete	NARROW	FLOPO_0988009	white	FLOPO_0988009	SubClassOf
FLOPO_0980105	scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980106	crimson	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980109	bright scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980110	flushed with pink	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980111	deep lilac	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980112	bluish	flopo_obsolete	RELATED	FLOPO_0988007	blue	PATO_0000014	SubClassOf
FLOPO_0980116	deep crimson	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980117	pale cream	flopo_obsolete	NARROW	FLOPO_0988019	yellow (ISCC-NBS level 2)	FLOPO_0988019	SubClassOf
FLOPO_0980119	pale scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980127	blackish	flopo_obsolete	RELATED	FLOPO_0988011	black	PATO_0000014	SubClassOf
FLOPO_0980128	deep magenta	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980130	brownish	flopo_obsolete	RELATED	FLOPO_0988003	brown	PATO_0000014	SubClassOf
FLOPO_0980132	pale pinkish	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980153	light scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980154	mahogany-red	flopo_obsolete	NARROW	PATO_0001287	reddish brown	PATO_0001287	SubClassOf
FLOPO_0980159	lemon-yellow	flopo_obsolete	NARROW	FLOPO_0988004	yellow	FLOPO_0988004	SubClassOf
FLOPO_0980167	apricot-yellow	flopo_obsolete	NARROW	FLOPO_0988004	yellow	FLOPO_0988004	SubClassOf
FLOPO_0980174	golden	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980185	golden-yellow	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980189	slightly blue-green	flopo_obsolete	NARROW	PATO_0104020	bluish green	PATO_0104020	SubClassOf
FLOPO_0980201	pale yellowish	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980202	very red	flopo_obsolete	NARROW	FLOPO_0988013	red (ISCC-NBS level 2)	FLOPO_0988013	SubClassOf
FLOPO_0980204	brilliant deep blue	flopo_obsolete	NARROW	PATO_0104064	deep blue	PATO_0104064	SubClassOf
FLOPO_0980211	bright dark green	flopo_obsolete	NARROW	PATO_0001249	dark green	PATO_0001249	SubClassOf
FLOPO_0980213	reddish line	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980215	lilac flushed	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980217	pink (occasionally flushed)	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980227	deep glowing orange	flopo_obsolete	NARROW	FLOPO_0988016	orange (ISCC-NBS level 2)	FLOPO_0988016	SubClassOf
FLOPO_0980228	deep maroon-purple	flopo_obsolete	NARROW	FLOPO_0988008	purple	FLOPO_0988008	SubClassOf
FLOPO_0980233	brilliant deep red	flopo_obsolete	NARROW	PATO_0104189	deep red	PATO_0104189	SubClassOf
FLOPO_0980237	fading white	flopo_obsolete	RELATED	FLOPO_0988009	white	PATO_0000014	SubClassOf
FLOPO_0980239	very deep purplish-black	flopo_obsolete	NARROW	PATO_0104157	purplish black	PATO_0104157	SubClassOf
FLOPO_0980244	green-backed	flopo_obsolete	RELATED	FLOPO_0988006	green	PATO_0000014	SubClassOf
FLOPO_0980248	pale creamy	flopo_obsolete	NARROW	FLOPO_0988019	yellow (ISCC-NBS level 2)	FLOPO_0988019	SubClassOf
FLOPO_0980251	pale greygreen with red streaks and freckles	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980255	bright rich blue	flopo_obsolete	NARROW	FLOPO_0988025	blue (ISCC-NBS level 2)	FLOPO_0988025	SubClassOf
FLOPO_0980256	sky-blue	flopo_obsolete	NARROW	FLOPO_0988025	blue (ISCC-NBS level 2)	FLOPO_0988025	SubClassOf
FLOPO_0980257	sky blue	flopo_obsolete	NARROW	FLOPO_0988025	blue (ISCC-NBS level 2)	FLOPO_0988025	SubClassOf
FLOPO_0980261	sandy-yellow	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980262	chestnut-brown	flopo_obsolete	NARROW	PATO_0001287	reddish brown	PATO_0001287	SubClassOf
FLOPO_0980264	dark-green	flopo_obsolete	EXACT	PATO_0001249	dark green	PATO_0001249	EquivalentTo
FLOPO_0980267	pink-flushed	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980274	greenish yellow inside	flopo_obsolete	RELATED	PATO_0104013	greenish yellow	PATO_0000014	SubClassOf
FLOPO_0980275	pink streaked	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980276	streaked with pink behind	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980285	chestnut-red	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980291	flushed with purple	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980296	scarlet-flushed	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980299	pale brownish	flopo_obsolete	RELATED	FLOPO_0988003	brown	PATO_0000014	SubClassOf
FLOPO_0980320	silver-grey	flopo_obsolete	NARROW	FLOPO_0988010	gray	FLOPO_0988010	SubClassOf
FLOPO_0980323	dark crimson-red	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980335	greenish-gold	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980352	very pale pink	flopo_obsolete	NARROW	FLOPO_0988012	pink (ISCC-NBS level 2)	FLOPO_0988012	SubClassOf
FLOPO_0980359	pale salmon-pink	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980363	bright sky-blue	flopo_obsolete	NARROW	FLOPO_0988025	blue (ISCC-NBS level 2)	FLOPO_0988025	SubClassOf
FLOPO_0980364	dark purplish	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980372	pale greenish-white	flopo_obsolete	NARROW	PATO_0104067	greenish white	PATO_0104067	SubClassOf
FLOPO_0980374	pale reddish	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980375	greyish heart-shaped	flopo_obsolete	RELATED	FLOPO_0988010	gray	PATO_0000014	SubClassOf
FLOPO_0980376	bright deep blue	flopo_obsolete	NARROW	PATO_0104064	deep blue	PATO_0104064	SubClassOf
FLOPO_0980382	pale grey	flopo_obsolete	NARROW	FLOPO_0988010	gray	FLOPO_0988010	SubClassOf
FLOPO_0980398	brilliant deep pink	flopo_obsolete	NARROW	FLOPO_0988032	deep pink	FLOPO_0988032	SubClassOf
FLOPO_0980402	orange ripe	flopo_obsolete	RELATED	FLOPO_0988002	orange	PATO_0000014	SubClassOf
FLOPO_0980403	bright lilac	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980405	pale pinkish white	flopo_obsolete	NARROW	PATO_0104059	pinkish white	PATO_0104059	SubClassOf
FLOPO_0980406	crimson tipped	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980409	bright reddish purple	flopo_obsolete	NARROW	PATO_0104079	reddish purple	PATO_0104079	SubClassOf
FLOPO_0980416	reddish orange	flopo_obsolete	EXACT	FLOPO_0988015	reddish orange	FLOPO_0988015	EquivalentTo
FLOPO_0980586	cream sensu RHS Colour Chart fifth edition	flopo_obsolete	RELATED	FLOPO_0988019	yellow (ISCC-NBS level 2)	PATO_0000014	SubClassOf
FLOPO_0980587	cream sensu Saccardo (1891)	flopo_obsolete	RELATED	FLOPO_0988019	yellow (ISCC-NBS level 2)	PATO_0000014	SubClassOf
FLOPO_0980588	crimson sensu Wilson Horticultural Colour Chart (1938/1940)	flopo_obsolete	NARROW	FLOPO_0988038	vivid red	FLOPO_0988038	SubClassOf
FLOPO_0980589	crimson sensu Textile Color Card Association of the USA	flopo_obsolete	NARROW	PATO_0104087	deep purplish red	PATO_0104087	SubClassOf
